Year,reconPDSI,obsPDSI
1816,0.66336386,
1817,1.06157286,
1818,-2.7940623,
1819,-0.07388524,
1820,-2.11711061,
1821,-0.43906948,
1822,-1.47682385,
1823,1.27668003,
1824,-1.99134178,
1825,2.2632945,
1826,-0.3118887,
1827,1.20325698,
1828,2.51552743,
1829,0.98608911,
1830,-1.57585506,
1831,-0.45622462,
1832,0.09172724,
1833,1.7160238,
1834,-0.86276403,
1835,1.09756198,
1836,1.38236761,
1837,0.68402946,
1838,2.36584876,
1839,3.8443812,
1840,0.73211383,
1841,0.02634516,
1842,-4.11393118,
1843,1.51986551,
1844,2.04041679,
1845,-1.76282747,
1846,-1.53395725,
1847,-1.58692028,
1848,-2.74732021,
1849,1.35417679,
1850,-1.08735021,
1851,-4.29608887,
1852,-1.42324872,
1853,1.46890374,
1854,1.80573766,
1855,-2.15514433,
1856,-2.6479114,
1857,-0.36958809,
1858,2.49202431,
1859,-0.54998496,
1860,-0.32945968,
1861,-4.07404023,
1862,-1.6889376,
1863,-3.43292555,
1864,1.35443269,
1865,-0.51186824,
1866,0.18921073,
1867,0.59834168,
1868,-0.26544569,
1869,2.0099284,
1870,-0.44380267,
1871,-0.47784957,
1872,2.83645353,
1873,-0.93325824,
1874,-0.90093175,
1875,-0.28694524,
1876,-0.56231769,
1877,0.01282172,
1878,3.61210436,
1879,-0.49737416,
1880,-5.60306349,
1881,0.16035249,
1882,1.06150744,
1883,-0.57031776,
1884,1.86562639,
1885,-0.04586092,
1886,0.25880049,
1887,0.58086204,
1888,-1.73884127,
1889,0.59545771,
1890,0.89933918,
1891,0.93743233,
1892,0.90853304,
1893,-3.79459092,
1894,-0.60202289,
1895,0.58291716,
1896,-1.52971005,
1897,1.29046325,
1898,1.26567239,
1899,-4.30828115,
1900,1.87933718,
1901,0.11479157,
1902,-1.45848095,-1.277333333
1903,0.12269975,0.450666667
1904,0.22382624,-0.572
1905,2.0475219,2.454
1906,-0.47001695,0.938
1907,0.85590339,-0.922666667
1908,-4.43617722,-3.556666667
1909,2.07366271,1.955333333
1910,-0.29413109,0.356666667
1911,-1.07654778,-1.993333333
1912,0.95860661,1.748666667
1913,0.41145621,-0.327333333
1914,2.6407396,3.529333333
1915,1.80350603,3.408666667
1916,-1.07402075,-0.829333333
1917,0.18724228,1.151333333
1918,1.38284612,-0.688
1919,2.13619249,1.630666667
1920,0.75056252,1.425333333
1921,2.71967511,1.254666667
1922,-0.52240541,0.300666667
1923,-0.23269498,0.98
1924,1.0850649,2.610666667
1925,-1.34154664,-2.51
1926,0.54642976,1.064444444
1927,-3.03910245,-0.304444444
1928,1.77025591,2.299444444
1929,-0.55093217,-0.923888889
1930,-0.07615577,-0.71
1931,0.79775772,-0.570555556
1932,-1.90721023,-2.996666667
1933,-1.1735465,-2.160555556
1934,-3.85726613,-3.978888889
1935,-0.47872696,-3.017222222
1936,-2.317407,-3.827777778
1937,-0.41219136,-3.555555556
1938,-1.10097416,-0.675
1939,-2.05475602,-1.11
1940,-1.27718981,-1.514444444
1941,1.22189939,0.755555556
1942,1.34204743,3.987777778
1943,0.65207041,0.191111111
1944,0.9695597,3.076666667
1945,-0.1586458,-0.482777778
1946,0.46505918,-1.991666667
1947,2.21409034,3.965
1948,1.51750532,3.678888889
1949,2.21931239,1.842222222
